Type	Shape	Chr	Start	End	color
Gap	box	scaffold_1	14095265	14095364	e41a1c
Gap	box	scaffold_1	18056478	18056577	e41a1c
Gap	box	scaffold_1	18629748	18629847	e41a1c
Gap	box	scaffold_2	13377749	13377848	e41a1c
Gap	box	scaffold_2	14532078	14532177	e41a1c
Gap	box	scaffold_3	10364378	10364477	e41a1c
Gap	box	scaffold_4	15764294	15764393	e41a1c
Gap	box	scaffold_5	24620323	24620422	e41a1c
Gap	box	scaffold_6	10611205	10611304	e41a1c
Gap	box	scaffold_7	16536531	16536630	e41a1c
Gap	box	scaffold_7	19319156	19319255	e41a1c
Gap	box	scaffold_9	191114	191213	e41a1c
Gap	box	scaffold_9	3318365	3318464	e41a1c
Gap	box	scaffold_10	13558148	13558247	e41a1c
Gap	box	scaffold_10	14175870	14175969	e41a1c
Gap	box	scaffold_12	13411217	13411316	e41a1c
Gap	box	scaffold_12	15404169	15404268	e41a1c
Gap	box	scaffold_12	22079584	22079683	e41a1c
Gap	box	scaffold_13	6436876	6436975	e41a1c
Gap	box	scaffold_13	7179758	7179857	e41a1c
Gap	box	scaffold_13	7931599	7931698	e41a1c
Gap	box	scaffold_13	8764901	8765000	e41a1c
Gap	box	scaffold_13	9945154	9945253	e41a1c
Gap	box	scaffold_14	11590779	11590878	e41a1c
Gap	box	scaffold_14	12225918	12226017	e41a1c
Gap	box	scaffold_15	14512860	14512959	e41a1c
Gap	box	scaffold_15	14582813	14582912	e41a1c
Gap	box	scaffold_20	8130628	8130727	e41a1c
Gap	box	scaffold_20	9400034	9400133	e41a1c
Gap	box	scaffold_20	10546148	10546247	e41a1c
Telomere	box	scaffold_1	1	1998	377eb8
Telomere	box	scaffold_1	31648645	31650643	377eb8
Telomere	box	scaffold_2	1	1999	377eb8
Telomere	box	scaffold_2	30730367	30732365	377eb8
Telomere	box	scaffold_3	1	1986	377eb8
Telomere	box	scaffold_3	27292334	27294329	377eb8
Telomere	box	scaffold_4	1	1988	377eb8
Telomere	box	scaffold_4	27013731	27015724	377eb8
Telomere	box	scaffold_5	1	1995	377eb8
Telomere	box	scaffold_5	26878786	26880775	377eb8
Telomere	box	scaffold_6	1	1998	377eb8
Telomere	box	scaffold_6	26587046	26589040	377eb8
Telomere	box	scaffold_7	1	1998	377eb8
Telomere	box	scaffold_7	29816029	29818027	377eb8
Telomere	box	scaffold_8	24847634	24849626	377eb8
Telomere	box	scaffold_9	25285322	25287317	377eb8
Telomere	box	scaffold_10	1	1994	377eb8
Telomere	box	scaffold_10	23417528	23419525	377eb8
Telomere	box	scaffold_11	1	1997	377eb8
Telomere	box	scaffold_11	25536299	25538293	377eb8
Telomere	box	scaffold_12	1	2000	377eb8
Telomere	box	scaffold_13	1	1996	377eb8
Telomere	box	scaffold_13	21274868	21276862	377eb8
Telomere	box	scaffold_14	1	1995	377eb8
Telomere	box	scaffold_14	20606655	20608651	377eb8
Telomere	box	scaffold_15	1	1996	377eb8
Telomere	box	scaffold_15	24172566	24174559	377eb8
Telomere	box	scaffold_16	1	1998	377eb8
Telomere	box	scaffold_16	23251253	23253249	377eb8
Telomere	box	scaffold_17	1	1994	377eb8
Telomere	box	scaffold_18	1	1994	377eb8
Telomere	box	scaffold_18	21637057	21639053	377eb8
Telomere	box	scaffold_19	1	1994	377eb8
Telomere	box	scaffold_19	29247973	29249970	377eb8
Telomere	box	scaffold_20	1	1998	377eb8
Telomere	box	scaffold_20	20473623	20475622	377eb8
