Chr	CE_start	CE_end
scaffold_1	17300001	19999720
scaffold_2	14934627	15914936
scaffold_3	9800001	11800000
scaffold_4	12700001	13700000
scaffold_5	13548261	16000000
scaffold_6	14700001	14793161
scaffold_7	17500001	17984353
scaffold_8	13400001	13700000
scaffold_9	19700001	20000000
scaffold_10	15286419	15500000
scaffold_11	10800001	10949279
scaffold_13	6800001	7930392
scaffold_14	12400001	13000000
scaffold_15	14100001	16500000
scaffold_16	5100001	6700000
scaffold_17	13044083	14239082
scaffold_18	12200001	12500000
scaffold_19	19700001	23100000
scaffold_20	9500001	10900000
