Chr	Start	End	CE_start	CE_end
scaffold_1	0	31650643	17300001.0	19999720.0
scaffold_2	0	30732365	14934627.0	15914936.0
scaffold_3	0	27294329	9800001.0	11800000.0
scaffold_4	0	27015724	12700001.0	13700000.0
scaffold_5	0	26880775	13548261.0	16000000.0
scaffold_6	0	26589040	14700001.0	14793161.0
scaffold_7	0	29818027	17500001.0	17984353.0
scaffold_8	0	24849626	13400001.0	13700000.0
scaffold_9	0	25287317	19700001.0	20000000.0
scaffold_10	0	23419525	15286419.0	15500000.0
scaffold_11	0	25538293	10800001.0	10949279.0
scaffold_12	0	22410666		
scaffold_13	0	21276862	6800001.0	7930392.0
scaffold_14	0	20608651	12400001.0	13000000.0
scaffold_15	0	24174559	14100001.0	16500000.0
scaffold_16	0	23253249	5100001.0	6700000.0
scaffold_17	0	19517082	13044083.0	14239082.0
scaffold_18	0	21639053	12200001.0	12500000.0
scaffold_19	0	29249970	19700001.0	23100000.0
scaffold_20	0	20475622	9500001.0	10900000.0
