Type	Shape	Chr	Start	End	color
Telomere	box	scaffold_1	1	1998	377eb8
Telomere	box	scaffold_1	31648645	31650643	377eb8
Telomere	box	scaffold_2	1	1999	377eb8
Telomere	box	scaffold_2	30730367	30732365	377eb8
Telomere	box	scaffold_3	1	1986	377eb8
Telomere	box	scaffold_3	27292334	27294329	377eb8
Telomere	box	scaffold_4	1	1988	377eb8
Telomere	box	scaffold_4	27013731	27015724	377eb8
Telomere	box	scaffold_5	1	1995	377eb8
Telomere	box	scaffold_5	26878786	26880775	377eb8
Telomere	box	scaffold_6	1	1998	377eb8
Telomere	box	scaffold_6	26587046	26589040	377eb8
Telomere	box	scaffold_7	1	1998	377eb8
Telomere	box	scaffold_7	29816029	29818027	377eb8
Telomere	box	scaffold_8	24847634	24849626	377eb8
Telomere	box	scaffold_9	25285322	25287317	377eb8
Telomere	box	scaffold_10	1	1994	377eb8
Telomere	box	scaffold_10	23417528	23419525	377eb8
Telomere	box	scaffold_11	1	1997	377eb8
Telomere	box	scaffold_11	25536299	25538293	377eb8
Telomere	box	scaffold_12	1	2000	377eb8
Telomere	box	scaffold_13	1	1996	377eb8
Telomere	box	scaffold_13	21274868	21276862	377eb8
Telomere	box	scaffold_14	1	1995	377eb8
Telomere	box	scaffold_14	20606655	20608651	377eb8
Telomere	box	scaffold_15	1	1996	377eb8
Telomere	box	scaffold_15	24172566	24174559	377eb8
Telomere	box	scaffold_16	1	1998	377eb8
Telomere	box	scaffold_16	23251253	23253249	377eb8
Telomere	box	scaffold_17	1	1994	377eb8
Telomere	box	scaffold_18	1	1994	377eb8
Telomere	box	scaffold_18	21637057	21639053	377eb8
Telomere	box	scaffold_19	1	1994	377eb8
Telomere	box	scaffold_19	29247973	29249970	377eb8
Telomere	box	scaffold_20	1	1998	377eb8
Telomere	box	scaffold_20	20473623	20475622	377eb8
